schemaVersion,recordType,startupName,employeeCount,officialWebsite,sourceName,sourceURL,collectedAt
1.0,STARTUP,Akon Labs,2,https://akonlabs.com,Y Combinator,https://www.ycombinator.com/companies/akon-labs,2026-09-06T03:17:49.568010Z
1.0,STARTUP,Allia Health,3,https://allia.health/,Y Combinator,https://www.ycombinator.com/companies/allia-health,2026-09-06T03:17:49.568072Z
1.0,STARTUP,antimattr,2,https://antimattr.one/,Y Combinator,https://www.ycombinator.com/companies/antimattr,2026-09-06T03:17:49.568096Z
1.0,STARTUP,10by10,5,https://10by10.io,Y Combinator,https://www.ycombinator.com/companies/10-by-10,2026-09-04T14:10:43.627968Z
1.0,STARTUP,1000Memories,2,http://ancestry.com,Y Combinator,https://www.ycombinator.com/companies/1000memories,2026-09-04T14:10:56.785325Z
1.0,STARTUP,100x,3,https://100x.bot?utm_source=inbound&utm_medium=bookface&utm_campaign=yc&utm_id=122,Y Combinator,https://www.ycombinator.com/companies/100x,2026-09-04T14:10:43.159260Z
1.0,STARTUP,1849 bio,3,https://www.1849.bio,Y Combinator,https://www.ycombinator.com/companies/1849-bio,2026-09-04T14:10:43.143022Z
1.0,STARTUP,1910,20,http://1910.ai,Y Combinator,https://www.ycombinator.com/companies/1910,2026-09-04T14:10:46.411459Z
1.0,STARTUP,1stCollab,,https://1stcollab.com/,Y Combinator,https://www.ycombinator.com/companies/1stcollab,2026-09-04T14:10:43.513426Z
1.0,STARTUP,222,23,https://222.place,Y Combinator,https://www.ycombinator.com/companies/222,2026-09-04T14:10:46.355727Z
1.0,STARTUP,280 North,11,http://280north.com,Y Combinator,https://www.ycombinator.com/companies/280-north,2026-09-04T14:10:43.549243Z
1.0,STARTUP,3dot,2,http://3dot.com,Y Combinator,https://www.ycombinator.com/companies/3dot,2026-09-04T14:10:50.592030Z
1.0,STARTUP,42,,https://42technologies.com,Y Combinator,https://www.ycombinator.com/companies/42,2026-09-04T14:10:43.624604Z
1.0,STARTUP,42Floors,60,http://42floors.com,Y Combinator,https://www.ycombinator.com/companies/42floors,2026-09-04T14:11:14.355654Z
1.0,STARTUP,500Friends,51,http://500friends.com,Y Combinator,https://www.ycombinator.com/companies/500friends,2026-09-04T14:11:21.306865Z
1.0,STARTUP,7 Cups,11,http://7cups.com,Y Combinator,https://www.ycombinator.com/companies/7cups,2026-09-04T14:11:09.498767Z
1.0,STARTUP,99dresses,2,http://99dresses.com,Y Combinator,https://www.ycombinator.com/companies/99dresses,2026-09-04T14:10:56.275968Z
1.0,STARTUP,9gag,36,http://9gag.com,Y Combinator,https://www.ycombinator.com/companies/9gag,2026-09-04T14:11:36.837443Z
1.0,STARTUP,A Thinking Ape,75,http://athinkingape.com,Y Combinator,https://www.ycombinator.com/companies/a-thinking-ape,2026-09-04T14:11:28.175196Z
1.0,STARTUP,Aalo,1,http://www.aalo.co,Y Combinator,https://www.ycombinator.com/companies/aalo,2026-09-04T14:11:31.205650Z
1.0,STARTUP,Abacus,30,http://abacus.com,Y Combinator,https://www.ycombinator.com/companies/abacus,2026-09-04T14:11:43.147312Z
1.0,STARTUP,Abalone Bio,14,https://www.abalonebio.com,Y Combinator,https://www.ycombinator.com/companies/abalone-bio,2026-09-04T14:11:55.025796Z
1.0,STARTUP,Abel Police,5,http://abelpolice.com,Y Combinator,https://www.ycombinator.com/companies/abel-police,2026-09-04T14:11:49.143235Z
1.0,STARTUP,Abhi,10,https://abhi.com.pk/,Y Combinator,https://www.ycombinator.com/companies/abhi,2026-09-04T14:12:31.418571Z
1.0,STARTUP,Able,50,https://ablejobs.co/,Y Combinator,https://www.ycombinator.com/companies/able,2026-09-04T14:12:01.339023Z
1.0,STARTUP,Able Health,11,http://ablehealth.com,Y Combinator,https://www.ycombinator.com/companies/able-health,2026-09-04T14:12:07.763110Z
1.0,STARTUP,Absurd,6,https://absurd.com/,Y Combinator,https://www.ycombinator.com/companies/absurd,2026-09-04T14:12:39.097651Z
1.0,STARTUP,Abundance Labs,12,http://abundancelabs.io,Y Combinator,https://www.ycombinator.com/companies/abundance-labs,2026-09-04T14:12:12.984830Z
1.0,STARTUP,Abundant,7,https://www.abundant.ai/,Y Combinator,https://www.ycombinator.com/companies/abundant,2026-09-04T14:12:57.889920Z
1.0,STARTUP,Accend,18,https://www.withaccend.com/,Y Combinator,https://www.ycombinator.com/companies/accend,2026-09-04T14:13:12.480645Z
1.0,STARTUP,Accept.inc,80,http://www.accept.inc,Y Combinator,https://www.ycombinator.com/companies/accept-inc,2026-09-04T14:12:16.364775Z
1.0,STARTUP,AccioJob,250,https://acciojob.com,Y Combinator,https://www.ycombinator.com/companies/acciojob,2026-09-04T14:12:23.980168Z
1.0,STARTUP,Accord,20,https://inaccord.com,Y Combinator,https://www.ycombinator.com/companies/accord,2026-09-04T14:12:48.771934Z
1.0,STARTUP,Acely,30,https://acely.com,Y Combinator,https://www.ycombinator.com/companies/acely,2026-09-04T14:13:43.225294Z
1.0,STARTUP,Actiondesk,4,https://www.actiondesk.io/,Y Combinator,https://www.ycombinator.com/companies/actiondesk,2026-09-04T14:13:21.796295Z
1.0,STARTUP,Acunote,,http://acunote.com,Y Combinator,https://www.ycombinator.com/companies/acunote,2026-09-04T14:13:19.747865Z
1.0,STARTUP,Adaptional,,https://www.adaptional.com/,Y Combinator,https://www.ycombinator.com/companies/adaptional,2026-09-04T14:14:00.022911Z
1.0,STARTUP,Adaptyv,25,https://www.adaptyvbio.com/,Y Combinator,https://www.ycombinator.com/companies/adaptyv,2026-09-04T14:13:49.296827Z
1.0,STARTUP,Aden,5,https://adenhq.com/,Y Combinator,https://www.ycombinator.com/companies/aden,2026-09-04T14:13:26.715867Z
1.0,STARTUP,AdGrok,2,http://adgrok.com,Y Combinator,https://www.ycombinator.com/companies/adgrok,2026-09-04T14:13:38.120155Z
1.0,STARTUP,Adla,3,http://tryadla.com,Y Combinator,https://www.ycombinator.com/companies/adla,2026-09-04T14:13:54.007204Z
1.0,STARTUP,AdThrow,,http://adthrow.com,Y Combinator,https://www.ycombinator.com/companies/adthrow,2026-09-04T14:14:12.158282Z
1.0,STARTUP,Advanced Metal Research,3,https://advancedmetalresearch.com/,Y Combinator,https://www.ycombinator.com/companies/advanced-metal-research,2026-09-04T14:14:29.083576Z
1.0,STARTUP,Advano,25,http://www.advano.io,Y Combinator,https://www.ycombinator.com/companies/advano,2026-09-04T14:14:17.244771Z
1.0,STARTUP,Advantage Club,220,https://www.advantageclub.co,Y Combinator,https://www.ycombinator.com/companies/advantage-club,2026-09-04T14:14:04.889272Z
1.0,STARTUP,Adventurous Co,2,http://adventurous.co,Y Combinator,https://www.ycombinator.com/companies/adventurous-co,2026-09-04T14:14:33.274920Z
1.0,STARTUP,adyn,7,https://adyn.com,Y Combinator,https://www.ycombinator.com/companies/adyn,2026-09-04T14:14:48.429323Z
1.0,STARTUP,Aella,60,http://www.aellaapp.com,Y Combinator,https://www.ycombinator.com/companies/aella,2026-09-04T14:14:23.854529Z
1.0,STARTUP,Aer,18,https://www.aercompliance.com/,Y Combinator,https://www.ycombinator.com/companies/aer,2026-09-04T14:14:42.845378Z
1.0,STARTUP,AeroFS,40,http://aerofs.com,Y Combinator,https://www.ycombinator.com/companies/aerofs,2026-09-04T14:15:06.451728Z
1.0,STARTUP,Aerones,250,http://www.aerones.com,Y Combinator,https://www.ycombinator.com/companies/aerones,2026-09-04T14:14:38.806513Z
1.0,STARTUP,Aerotime,6,https://www.aerotime.com,Y Combinator,https://www.ycombinator.com/companies/aerotime,2026-09-04T14:14:55.226801Z
1.0,STARTUP,Aesthetic,4,https://www.aesthetic.com,Y Combinator,https://www.ycombinator.com/companies/aesthetic,2026-09-04T14:14:59.973338Z
1.0,STARTUP,Afriex,55,https://www.afriexapp.com,Y Combinator,https://www.ycombinator.com/companies/afriex,2026-09-04T14:15:12.218088Z
1.0,STARTUP,Afrostream,11,http://afrostream.tv,Y Combinator,https://www.ycombinator.com/companies/afrostream,2026-09-04T14:15:25.601967Z
1.0,STARTUP,Aftercare,3,https://getaftercare.com,Y Combinator,https://www.ycombinator.com/companies/aftercare,2026-09-04T14:15:34.163907Z
1.0,STARTUP,Afternoon.co,4,https://afternoon.co,Y Combinator,https://www.ycombinator.com/companies/afternoon-co,2026-09-04T14:15:43.316884Z
1.0,STARTUP,AfterQuery,30,https://afterquery.com,Y Combinator,https://www.ycombinator.com/companies/afterquery,2026-09-04T14:15:58.062905Z
1.0,STARTUP,Agapé,6,https://www.getdailyagape.com,Y Combinator,https://www.ycombinator.com/companies/agape,2026-09-04T14:15:18.490310Z
1.0,STARTUP,Agency,50,https://GetAgency.com,Y Combinator,https://www.ycombinator.com/companies/agency,2026-09-04T14:16:15.915982Z
1.0,STARTUP,AgendaPro,50,https://www.agendapro.com,Y Combinator,https://www.ycombinator.com/companies/agendapro,2026-09-04T14:16:23.926797Z
1.0,STARTUP,Agentic Labs,2,https://agenticlabs.com,Y Combinator,https://www.ycombinator.com/companies/agentic-labs-2,2026-09-04T14:16:06.549016Z
1.0,STARTUP,Agentin AI,2,https://www.agentin.ai,Y Combinator,https://www.ycombinator.com/companies/agentin-ai,2026-09-04T14:16:40.908541Z
1.0,STARTUP,Agentnoon,16,https://agentnoon.com,Y Combinator,https://www.ycombinator.com/companies/agentnoon,2026-09-04T14:16:49.672832Z
1.0,STARTUP,AgileMD,19,https://agilemd.com,Y Combinator,https://www.ycombinator.com/companies/agilemd,2026-09-04T14:16:31.344359Z
1.0,STARTUP,Ahazou,27,https://ahazou.com,Y Combinator,https://www.ycombinator.com/companies/ahazou,2026-09-04T14:17:02.575121Z
1.0,STARTUP,AI.Fashion,11,https://www.ai.fashion,Y Combinator,https://www.ycombinator.com/companies/ai-fashion,2026-09-04T14:16:56.329194Z
1.0,STARTUP,AI Insurance,16,https://www.aiinsurance.io,Y Combinator,https://www.ycombinator.com/companies/ai-insurance,2026-09-04T14:17:13.700869Z
1.0,STARTUP,AI Tech Packs,2,https://aitechpacks.com,Y Combinator,https://www.ycombinator.com/companies/ai-tech-packs,2026-09-04T14:17:08.206103Z
1.0,STARTUP,Airfordable,7,http://www.airfordable.com,Y Combinator,https://www.ycombinator.com/companies/airfordable,2026-09-04T14:17:20.192334Z
1.0,STARTUP,Airmada,2,http://www.airmada.com,Y Combinator,https://www.ycombinator.com/companies/airmada,2026-09-04T14:17:26.706408Z
1.0,STARTUP,AirMyne,11,http://www.airmyne.com,Y Combinator,https://www.ycombinator.com/companies/airmyne,2026-09-04T14:17:33.021523Z
1.0,STARTUP,Airo Health,2,http://www.airohealth.com,Y Combinator,https://www.ycombinator.com/companies/airo-health,2026-09-04T14:17:37.802367Z
